"species","individ","bud","tx","dvr","frost","ind"
"BETPAP","BETPAP_G05",13,"A",3,0,4
"BETPAP","BETPAP_G05",2,"A",19,0,4
"BETPAP","BETPAP_G05",21,"A",3,0,4
"BETPAP","BETPAP_G05",22,"A",3,0,4
"BETPAP","BETPAP_G05",3,"A",19,0,4
"BETPAP","BETPAP_G05",4,"A",16,0,4
"BETPAP","BETPAP_G05",5,"A",3,0,4
"BETPAP","BETPAP_G05",7,"A",3,0,4
"BETPAP","BETPAP_G05",8,"A",3,0,4
"BETPAP","BETPAP_G06",1,"A",17,0,5
"BETPAP","BETPAP_G06",11,"A",5,0,5
"BETPAP","BETPAP_G06",12,"A",9,0,5
"BETPAP","BETPAP_G06",13,"A",12,0,5
"BETPAP","BETPAP_G06",14,"A",12,0,5
"BETPAP","BETPAP_G06",15,"A",12,0,5
"BETPAP","BETPAP_G06",17,"A",12,0,5
"BETPAP","BETPAP_G06",18,"A",15,0,5
"BETPAP","BETPAP_G06",19,"A",12,0,5
"BETPAP","BETPAP_G06",2,"A",15,0,5
"BETPAP","BETPAP_G06",20,"A",15,0,5
"BETPAP","BETPAP_G06",4,"A",15,0,5
"BETPAP","BETPAP_G06",8,"A",2,0,5
"BETPAP","BETPAP_G07",1,"A",5,0,6
"BETPAP","BETPAP_G07",11,"A",8,0,6
"BETPAP","BETPAP_G07",12,"A",28,0,6
"BETPAP","BETPAP_G07",13,"A",15,0,6
"BETPAP","BETPAP_G07",14,"A",31,0,6
"BETPAP","BETPAP_G07",15,"A",32,0,6
"BETPAP","BETPAP_G07",16,"A",6,0,6
"BETPAP","BETPAP_G07",17,"A",10,0,6
"BETPAP","BETPAP_G08",1,"B",10,1,2
"BETPAP","BETPAP_G08",2,"B",10,0,2
"BETPAP","BETPAP_G08",3,"B",10,1,2
"BETPAP","BETPAP_G08",4,"B",10,0,2
"BETPAP","BETPAP_G08",7,"B",3,1,2
"BETPAP","BETPAP_G08",8,"B",3,1,2
"BETPAP","BETPAP_G08",9,"B",3,1,2
"BETPAP","BETPAP_G09",1,"A",28,0,7
"BETPAP","BETPAP_G09",10,"A",5,0,7
"BETPAP","BETPAP_G09",11,"A",10,0,7
"BETPAP","BETPAP_G09",12,"A",13,0,7
"BETPAP","BETPAP_G09",13,"A",15,0,7
"BETPAP","BETPAP_G09",2,"A",15,0,7
"BETPAP","BETPAP_G09",3,"A",15,0,7
"BETPAP","BETPAP_G09",4,"A",13,0,7
"BETPAP","BETPAP_G09",5,"A",21,0,7
"BETPAP","BETPAP_G10",1,"B",33,1,3
"BETPAP","BETPAP_G10",10,"B",15,0,3
"BETPAP","BETPAP_G10",2,"B",13,0,3
"BETPAP","BETPAP_G10",3,"B",9,1,3
"BETPAP","BETPAP_G10",4,"B",9,0,3
"BETPAP","BETPAP_G10",5,"B",14,0,3
"BETPAP","BETPAP_G10",6,"B",16,0,3
"BETPAP","BETPAP_G10",7,"B",13,0,3
"BETPAP","BETPAP_G10",8,"B",16,0,3
"BETPAP","BETPAP_G11",1,"B",49,0,4
"BETPAP","BETPAP_G11",12,"B",8,0,4
"BETPAP","BETPAP_G11",13,"B",7,1,4
"BETPAP","BETPAP_G11",14,"B",5,1,4
"BETPAP","BETPAP_G11",2,"B",8,1,4
"BETPAP","BETPAP_G11",22,"B",30,0,4
"BETPAP","BETPAP_G11",23,"B",7,0,4
"BETPAP","BETPAP_G11",24,"B",28,0,4
"BETPAP","BETPAP_G11",5,"B",8,1,4
"BETPAP","BETPAP_G11",8,"B",5,1,4
"BETPAP","BETPAP_G12",1,"B",12,0,5
"BETPAP","BETPAP_G12",10,"B",8,1,5
"BETPAP","BETPAP_G12",11,"B",3,1,5
"BETPAP","BETPAP_G12",12,"B",5,1,5
"BETPAP","BETPAP_G12",16,"B",7,0,5
"BETPAP","BETPAP_G12",17,"B",7,0,5
"BETPAP","BETPAP_G12",19,"B",3,1,5
"BETPAP","BETPAP_G12",2,"B",6,0,5
"BETPAP","BETPAP_G12",3,"B",12,0,5
"BETPAP","BETPAP_G12",4,"B",11,0,5
"BETPAP","BETPAP_G12",5,"B",15,0,5
"BETPAP","BETPAP_G12",6,"B",9,0,5
"BETPAP","BETPAP_G12",8,"B",5,1,5
"BETPAP","BETPAP_G12",9,"B",7,1,5
"BETPAP","BETPAP_G13",10,"B",14,0,6
"BETPAP","BETPAP_G13",2,"B",20,0,6
"BETPAP","BETPAP_G13",3,"B",17,0,6
"BETPAP","BETPAP_G13",5,"B",13,0,6
"BETPAP","BETPAP_G13",7,"B",13,1,6
"BETPAP","BETPAP_G13",8,"B",13,0,6
"BETPAP","BETPAP_G13",9,"B",9,1,6
"BETPAP","BETPAP_G14",10,"B",8,0,7
"BETPAP","BETPAP_G14",11,"B",8,0,7
"BETPAP","BETPAP_G14",13,"B",23,0,7
"BETPAP","BETPAP_G14",14,"B",9,1,7
"BETPAP","BETPAP_G14",15,"B",21,0,7
"BETPAP","BETPAP_G14",16,"B",15,0,7
"BETPAP","BETPAP_G14",17,"B",42,0,7
"BETPAP","BETPAP_G14",18,"B",12,1,7
"BETPAP","BETPAP_G14",19,"B",21,0,7
"BETPAP","BETPAP_G14",20,"B",43,0,7
"BETPAP","BETPAP_G14",21,"B",38,0,7
"BETPAP","BETPAP_G14",22,"B",32,0,7
"BETPAP","BETPAP_G14",23,"B",26,0,7
"BETPAP","BETPAP_G14",24,"B",43,0,7
"BETPAP","BETPAP_G14",25,"B",38,0,7
"BETPAP","BETPAP_G14",3,"B",10,0,7
"BETPAP","BETPAP_G14",4,"B",10,0,7
"BETPAP","BETPAP_G14",5,"B",17,0,7
"BETPAP","BETPAP_G14",6,"B",23,0,7
"BETPAP","BETPAP_G14",7,"B",7,1,7
"BETPAP","BETPAP_G14",8,"B",21,0,7
"BETPAP","BETPAP_G14",9,"B",26,0,7
"BETPOP","BETPOP_W01",1,"A",7,0,1
"BETPOP","BETPOP_W01",10,"A",7,0,1
"BETPOP","BETPOP_W01",11,"A",7,0,1
"BETPOP","BETPOP_W01",12,"A",11,0,1
"BETPOP","BETPOP_W01",13,"A",14,0,1
"BETPOP","BETPOP_W01",14,"A",7,0,1
"BETPOP","BETPOP_W01",15,"A",7,0,1
"BETPOP","BETPOP_W01",16,"A",11,0,1
"BETPOP","BETPOP_W01",17,"A",11,0,1
"BETPOP","BETPOP_W01",18,"A",14,0,1
"BETPOP","BETPOP_W01",19,"A",11,0,1
"BETPOP","BETPOP_W01",2,"A",7,0,1
"BETPOP","BETPOP_W01",20,"A",14,0,1
"BETPOP","BETPOP_W01",21,"A",11,0,1
"BETPOP","BETPOP_W01",22,"A",11,0,1
"BETPOP","BETPOP_W01",23,"A",7,0,1
"BETPOP","BETPOP_W01",24,"A",7,0,1
"BETPOP","BETPOP_W01",25,"A",11,0,1
"BETPOP","BETPOP_W01",3,"A",7,0,1
"BETPOP","BETPOP_W01",4,"A",7,0,1
"BETPOP","BETPOP_W01",5,"A",14,0,1
"BETPOP","BETPOP_W01",8,"A",14,0,1
"BETPOP","BETPOP_W01",9,"A",14,0,1
"BETPOP","BETPOP_W02",1,"B",9,0,1
"BETPOP","BETPOP_W02",11,"B",11,0,1
"BETPOP","BETPOP_W02",12,"B",11,0,1
"BETPOP","BETPOP_W02",13,"B",11,1,1
"BETPOP","BETPOP_W02",14,"B",11,0,1
"BETPOP","BETPOP_W02",16,"B",15,0,1
"BETPOP","BETPOP_W02",17,"B",10,0,1
"BETPOP","BETPOP_W02",18,"B",17,0,1
"BETPOP","BETPOP_W02",19,"B",17,0,1
"BETPOP","BETPOP_W02",2,"B",7,0,1
"BETPOP","BETPOP_W02",20,"B",11,1,1
"BETPOP","BETPOP_W02",21,"B",11,0,1
"BETPOP","BETPOP_W02",22,"B",11,0,1
"BETPOP","BETPOP_W02",23,"B",7,0,1
"BETPOP","BETPOP_W02",24,"B",11,1,1
"BETPOP","BETPOP_W02",25,"B",11,0,1
"BETPOP","BETPOP_W02",26,"B",6,1,1
"BETPOP","BETPOP_W02",27,"B",17,0,1
"BETPOP","BETPOP_W02",28,"B",17,1,1
"BETPOP","BETPOP_W02",29,"B",17,0,1
"BETPOP","BETPOP_W02",3,"B",7,1,1
"BETPOP","BETPOP_W02",30,"B",10,0,1
"BETPOP","BETPOP_W02",5,"B",7,1,1
"BETPOP","BETPOP_W02",6,"B",11,0,1
"BETPOP","BETPOP_W02",7,"B",7,0,1
"BETPOP","BETPOP_W03",1,"A",7,0,2
"BETPOP","BETPOP_W03",10,"A",9,0,2
"BETPOP","BETPOP_W03",11,"A",8,0,2
"BETPOP","BETPOP_W03",12,"A",8,0,2
"BETPOP","BETPOP_W03",14,"A",15,0,2
"BETPOP","BETPOP_W03",15,"A",7,0,2
"BETPOP","BETPOP_W03",16,"A",7,0,2
"BETPOP","BETPOP_W03",17,"A",4,0,2
"BETPOP","BETPOP_W03",18,"A",15,0,2
"BETPOP","BETPOP_W03",19,"A",7,0,2
"BETPOP","BETPOP_W03",2,"A",9,0,2
"BETPOP","BETPOP_W03",20,"A",11,0,2
"BETPOP","BETPOP_W03",21,"A",11,0,2
"BETPOP","BETPOP_W03",22,"A",11,0,2
"BETPOP","BETPOP_W03",23,"A",11,0,2
"BETPOP","BETPOP_W03",24,"A",11,0,2
"BETPOP","BETPOP_W03",25,"A",15,0,2
"BETPOP","BETPOP_W03",26,"A",7,0,2
"BETPOP","BETPOP_W03",27,"A",7,0,2
"BETPOP","BETPOP_W03",28,"A",7,0,2
"BETPOP","BETPOP_W03",29,"A",10,0,2
"BETPOP","BETPOP_W03",3,"A",7,0,2
"BETPOP","BETPOP_W03",30,"A",10,0,2
"BETPOP","BETPOP_W03",31,"A",10,0,2
"BETPOP","BETPOP_W03",32,"A",10,0,2
"BETPOP","BETPOP_W03",4,"A",7,0,2
"BETPOP","BETPOP_W03",5,"A",9,0,2
"BETPOP","BETPOP_W03",6,"A",9,0,2
"BETPOP","BETPOP_W03",7,"A",5,0,2
"BETPOP","BETPOP_W03",8,"A",15,0,2
"BETPOP","BETPOP_W03",9,"A",7,0,2
"BETPOP","BETPOP_W04",1,"B",12,0,2
"BETPOP","BETPOP_W04",4,"B",12,0,2
"BETPOP","BETPOP_W04",7,"B",12,1,2
"BETPOP","BETPOP_W04",8,"B",12,0,2
"BETPOP","BETPOP_W05",1,"A",12,0,3
"BETPOP","BETPOP_W05",10,"A",8,0,3
"BETPOP","BETPOP_W05",11,"A",8,0,3
"BETPOP","BETPOP_W05",12,"A",12,0,3
"BETPOP","BETPOP_W05",13,"A",15,0,3
"BETPOP","BETPOP_W05",14,"A",12,0,3
"BETPOP","BETPOP_W05",15,"A",12,0,3
"BETPOP","BETPOP_W05",16,"A",8,0,3
"BETPOP","BETPOP_W05",18,"A",12,0,3
"BETPOP","BETPOP_W05",2,"A",12,0,3
"BETPOP","BETPOP_W05",20,"A",7,0,3
"BETPOP","BETPOP_W05",21,"A",8,0,3
"BETPOP","BETPOP_W05",22,"A",8,0,3
"BETPOP","BETPOP_W05",23,"A",8,0,3
"BETPOP","BETPOP_W05",24,"A",12,0,3
"BETPOP","BETPOP_W05",3,"A",12,0,3
"BETPOP","BETPOP_W05",4,"A",9,0,3
"BETPOP","BETPOP_W05",5,"A",12,0,3
"BETPOP","BETPOP_W05",8,"A",12,0,3
"BETPOP","BETPOP_W06",1,"B",16,1,3
"BETPOP","BETPOP_W06",11,"B",16,0,3
"BETPOP","BETPOP_W06",12,"B",12,1,3
"BETPOP","BETPOP_W06",13,"B",16,1,3
"BETPOP","BETPOP_W06",14,"B",12,1,3
"BETPOP","BETPOP_W06",15,"B",7,1,3
"BETPOP","BETPOP_W06",16,"B",16,0,3
"BETPOP","BETPOP_W06",17,"B",7,1,3
"BETPOP","BETPOP_W06",18,"B",11,1,3
"BETPOP","BETPOP_W06",19,"B",11,0,3
"BETPOP","BETPOP_W06",20,"B",14,0,3
"BETPOP","BETPOP_W06",21,"B",18,0,3
"BETPOP","BETPOP_W06",22,"B",11,1,3
"BETPOP","BETPOP_W06",23,"B",3,1,3
"BETPOP","BETPOP_W06",5,"B",16,0,3
"BETPOP","BETPOP_W06",9,"B",23,0,3
"BETPOP","BETPOP_W07",1,"A",18,0,4
"BETPOP","BETPOP_W07",11,"A",12,0,4
"BETPOP","BETPOP_W07",12,"A",27,0,4
"BETPOP","BETPOP_W07",14,"A",8,0,4
"BETPOP","BETPOP_W07",16,"A",20,0,4
"BETPOP","BETPOP_W07",17,"A",12,0,4
"BETPOP","BETPOP_W07",20,"A",19,0,4
"BETPOP","BETPOP_W07",21,"A",16,0,4
"BETPOP","BETPOP_W07",22,"A",16,0,4
"BETPOP","BETPOP_W07",23,"A",16,0,4
"BETPOP","BETPOP_W07",24,"A",20,0,4
"BETPOP","BETPOP_W07",25,"A",16,0,4
"BETPOP","BETPOP_W07",26,"A",16,0,4
"BETPOP","BETPOP_W07",27,"A",12,0,4
"BETPOP","BETPOP_W07",28,"A",12,0,4
"BETPOP","BETPOP_W07",29,"A",27,0,4
"BETPOP","BETPOP_W07",30,"A",12,0,4
"BETPOP","BETPOP_W07",32,"A",12,0,4
"BETPOP","BETPOP_W07",34,"A",19,0,4
"BETPOP","BETPOP_W07",35,"A",12,0,4
"BETPOP","BETPOP_W07",36,"A",12,0,4
"BETPOP","BETPOP_W07",37,"A",8,0,4
"BETPOP","BETPOP_W07",5,"A",16,0,4
"BETPOP","BETPOP_W07",6,"A",23,0,4
"BETPOP","BETPOP_W07",7,"A",12,0,4
"BETPOP","BETPOP_W07",8,"A",27,0,4
"BETPOP","BETPOP_W08",1,"B",14,0,4
"BETPOP","BETPOP_W08",10,"B",11,0,4
"BETPOP","BETPOP_W08",12,"B",11,0,4
"BETPOP","BETPOP_W08",2,"B",14,0,4
"BETPOP","BETPOP_W08",7,"B",4,1,4
"BETPOP","BETPOP_W08",8,"B",11,0,4
"BETPOP","BETPOP_W08",9,"B",11,0,4
"BETPOP","BETPOP_W09",1,"B",9,1,5
"BETPOP","BETPOP_W09",10,"B",4,0,5
"BETPOP","BETPOP_W09",11,"B",4,1,5
"BETPOP","BETPOP_W09",13,"B",4,1,5
"BETPOP","BETPOP_W09",14,"B",4,1,5
"BETPOP","BETPOP_W09",2,"B",7,1,5
"BETPOP","BETPOP_W09",7,"B",7,1,5
"BETPOP","BETPOP_W10",1,"A",28,0,5
"BETPOP","BETPOP_W10",10,"A",8,0,5
"BETPOP","BETPOP_W10",11,"A",5,0,5
"BETPOP","BETPOP_W10",12,"A",8,0,5
"BETPOP","BETPOP_W10",14,"A",8,0,5
"BETPOP","BETPOP_W10",15,"A",8,0,5
"BETPOP","BETPOP_W10",16,"A",7,0,5
"BETPOP","BETPOP_W10",17,"A",7,0,5
"BETPOP","BETPOP_W10",18,"A",7,0,5
"BETPOP","BETPOP_W10",3,"A",14,0,5
"BETPOP","BETPOP_W10",5,"A",9,0,5
"BETPOP","BETPOP_W10",6,"A",7,0,5
"BETPOP","BETPOP_W10",7,"A",12,0,5
"BETPOP","BETPOP_W10",8,"A",9,0,5
"BETPOP","BETPOP_W10",9,"A",8,0,5
"BETPOP","BETPOP_W11",1,"A",7,0,6
"BETPOP","BETPOP_W11",10,"A",5,0,6
"BETPOP","BETPOP_W11",11,"A",12,0,6
"BETPOP","BETPOP_W11",12,"A",7,0,6
"BETPOP","BETPOP_W11",13,"A",7,0,6
"BETPOP","BETPOP_W11",15,"A",11,0,6
"BETPOP","BETPOP_W11",16,"A",7,0,6
"BETPOP","BETPOP_W11",18,"A",7,0,6
"BETPOP","BETPOP_W11",19,"A",7,0,6
"BETPOP","BETPOP_W11",2,"A",12,0,6
"BETPOP","BETPOP_W11",20,"A",7,0,6
"BETPOP","BETPOP_W11",4,"A",12,0,6
"BETPOP","BETPOP_W11",5,"A",10,0,6
"BETPOP","BETPOP_W11",6,"A",12,0,6
"BETPOP","BETPOP_W11",7,"A",9,0,6
"BETPOP","BETPOP_W11",8,"A",12,0,6
"BETPOP","BETPOP_W11",9,"A",9,0,6
"BETPOP","BETPOP_W12",1,"B",12,1,6
"BETPOP","BETPOP_W12",10,"B",15,1,6
"BETPOP","BETPOP_W12",13,"B",16,0,6
"BETPOP","BETPOP_W12",14,"B",23,0,6
"BETPOP","BETPOP_W12",15,"B",16,0,6
"BETPOP","BETPOP_W12",16,"B",7,1,6
"BETPOP","BETPOP_W12",17,"B",7,1,6
"BETPOP","BETPOP_W12",18,"B",9,0,6
"BETPOP","BETPOP_W12",19,"B",9,0,6
"BETPOP","BETPOP_W12",20,"B",7,1,6
"BETPOP","BETPOP_W12",21,"B",7,1,6
"BETPOP","BETPOP_W12",22,"B",15,0,6
"BETPOP","BETPOP_W12",24,"B",11,0,6
"BETPOP","BETPOP_W12",25,"B",14,0,6
"BETPOP","BETPOP_W12",26,"B",14,0,6
"BETPOP","BETPOP_W12",27,"B",11,0,6
"BETPOP","BETPOP_W12",28,"B",11,0,6
"BETPOP","BETPOP_W12",29,"B",11,0,6
"BETPOP","BETPOP_W12",30,"B",11,0,6
"BETPOP","BETPOP_W12",31,"B",11,0,6
"BETPOP","BETPOP_W12",32,"B",9,0,6
"BETPOP","BETPOP_W12",33,"B",7,1,6
"BETPOP","BETPOP_W12",34,"B",9,1,6
"BETPOP","BETPOP_W12",35,"B",11,0,6
"BETPOP","BETPOP_W12",36,"B",11,0,6
"BETPOP","BETPOP_W12",37,"B",7,1,6
"BETPOP","BETPOP_W12",38,"B",7,0,6
"BETPOP","BETPOP_W12",9,"B",16,0,6
"BETPOP","BETPOP_W13",1,"A",16,0,7
"BETPOP","BETPOP_W13",4,"A",9,0,7
"BETPOP","BETPOP_W13",5,"A",9,0,7
"BETPOP","BETPOP_W14",1,"B",21,0,7
"BETPOP","BETPOP_W14",10,"B",8,0,7
"BETPOP","BETPOP_W14",2,"B",16,0,7
"BETPOP","BETPOP_W14",3,"B",5,1,7
"BETPOP","BETPOP_W14",4,"B",15,0,7
"BETPOP","BETPOP_W14",6,"B",5,1,7
"BETPOP","BETPOP_W14",7,"B",10,1,7
"BETPOP","BETPOP_W15",10,"A",14,0,8
"BETPOP","BETPOP_W15",11,"A",10,0,8
"BETPOP","BETPOP_W15",12,"A",26,0,8
"BETPOP","BETPOP_W15",13,"A",12,0,8
"BETPOP","BETPOP_W15",3,"A",9,0,8
"BETPOP","BETPOP_W15",4,"A",6,0,8
"BETPOP","BETPOP_W15",5,"A",17,0,8
"BETPOP","BETPOP_W15",6,"A",13,0,8
"BETPOP","BETPOP_W15",7,"A",9,0,8
"BETPOP","BETPOP_W15",8,"A",21,0,8
"BETPOP","BETPOP_W15",9,"A",13,0,8
